Date,Price,Open,High,Low,Change %
"Sep 03, 2013",12.0663,12.0531,12.0991,12.0356,0.10%
"Sep 04, 2013",12.1188,12.0637,12.1367,12.0601,0.44%
"Sep 05, 2013",12.0911,12.1164,12.1515,12.0764,-0.23%
"Sep 06, 2013",12.1218,12.0899,12.162,12.0688,0.25%
"Sep 09, 2013",12.1701,12.1245,12.2016,12.1007,0.40%
"Sep 10, 2013",12.2017,12.1704,12.2097,12.1608,0.26%
"Sep 11, 2013",12.266,12.2,12.2763,12.1874,0.53%
"Sep 12, 2013",12.256,12.2654,12.2825,12.2336,-0.08%
"Sep 13, 2013",12.3103,12.2541,12.3185,12.2312,0.44%
"Sep 16, 2013",12.326,12.3061,12.3781,12.3061,0.13%
"Sep 17, 2013",12.3319,12.3242,12.3589,12.316,0.05%
"Sep 18, 2013",12.5197,12.3293,12.5329,12.3217,1.52%
"Sep 19, 2013",12.4301,12.5173,12.5252,12.4211,-0.72%
"Sep 20, 2013",12.4096,12.4296,12.4596,12.3919,-0.16%
"Sep 23, 2013",12.4383,12.4076,12.4623,12.3977,0.23%
"Sep 24, 2013",12.4082,12.4369,12.441,12.3676,-0.24%
"Sep 25, 2013",12.4683,12.4078,12.4754,12.387,0.48%
"Sep 26, 2013",12.4383,12.4662,12.4827,12.4038,-0.24%
"Sep 27, 2013",12.5142,12.4371,12.5234,12.4284,0.61%
"Sep 30, 2013",12.5538,12.5123,12.5652,12.487,0.32%
"Oct 01, 2013",12.5577,12.552,12.6119,12.548,0.03%
"Oct 02, 2013",12.5805,12.5548,12.6043,12.5314,0.18%
"Oct 03, 2013",12.5279,12.5774,12.5959,12.5244,-0.42%
"Oct 04, 2013",12.4147,12.5267,12.5459,12.4101,-0.90%
"Oct 07, 2013",12.4818,12.4168,12.4858,12.4165,0.54%
"Oct 08, 2013",12.4722,12.4796,12.5049,12.4199,-0.08%
"Oct 09, 2013",12.3731,12.4698,12.5021,12.34,-0.79%
"Oct 10, 2013",12.3808,12.3714,12.3914,12.338,0.06%
"Oct 11, 2013",12.3721,12.3794,12.4085,12.3451,-0.07%
"Oct 14, 2013",12.3952,12.3676,12.4234,12.3661,0.19%
"Oct 15, 2013",12.4055,12.3924,12.4146,12.3397,0.08%
