time,open,high,low,close,Volume,Volume MA
1489498200,237.18,237.24,236.19,236.9,59880778,78560658.15
1489584600,237.56,239.44,237.29,238.95,96081750,79809296.5
1489671000,239.11,239.2,238.1,238.48,78343951,79387202.75
1489757400,237.75,237.97,237.03,237.03,89002111,79601186.45
1490016600,237.03,237.36,236.32,236.77,52536979,78367830.2
1490103000,237.47,237.61,233.58,233.73,131809275,80510991.4
1490189400,233.77,234.61,233.05,234.28,97569204,82283692.35
1490275800,234,235.34,233.6,234.03,100410277,83573411.1
1490362200,234.38,235.04,232.96,233.86,112504853,85079573.15
1490621400,231.93,233.92,231.61,233.62,87454452,86626523.75
1490707800,233.27,235.81,233.14,235.32,93483915,86452622.6
1490794200,234.99,235.81,234.725,235.54,60786374,82034032.8
1490880600,235.47,236.52,235.27,236.29,56737890,81358628.4
1490967000,235.9,236.51,235.68,235.74,73733094,80946568.1
1491226200,235.8,236.03,233.91,235.33,85546486,82454315.75
1491312600,235,235.58,234.555,235.48,56466195,82022438.65
1491399000,236.26,237.39,234.54,234.78,108800604,83554029.1
1491485400,234.94,236.04,234.425,235.44,69135757,82476621.05
1491571800,235.15,236,234.64,235.2,74412311,82097654
1491831000,235.36,236.255,234.73,235.34,67615302,82615577.9
1491917400,234.9,235.18,233.34,235.06,88045276,84023802.8
1492003800,234.74,234.96,233.77,234.03,81864436,83312937.1
1492090200,233.64,234.49,232.51,232.51,92880394,84039759.25
1492435800,233.11,234.57,232.88,234.57,68405367,83009922.05
1492522200,233.72,234.49,233.08,233.87,83225821,84544364.15
1492608600,234.52,234.95,233.18,233.44,68699868,81388893.8
1492695000,234.15,235.845,233.78,235.34,92572186,81139042.9
1492781400,235.25,235.31,234.13,234.59,110389847,81638021.4
1493040600,237.18,237.41,236.61,237.17,119209877,81973272.6
1493127000,237.91,238.95,237.81,238.55,75050935,81353096.75
1493213400,238.51,239.53,238.35,238.4,84702455,80914023.75
1493299800,238.77,238.95,237.98,238.6,57410326,80745221.35
1493386200,238.9,238.93,237.93,238.08,63532845,81084969.1
1493645400,238.68,239.17,238.195,238.68,66882521,80742440.45
1493731800,238.84,238.98,238.3,238.77,57375732,79333902.75
1493818200,238.29,238.8775,237.7,238.48,73137731,80167479.55
1493904600,238.83,238.9225,237.78,238.76,61462732,77800585.95
1493991000,239.19,239.72,238.68,239.7,62001269,77443861.55
1494250200,239.75,239.92,239.17,239.66,48385730,76142532.5
1494336600,239.96,240.19,239.04,239.44,51363200,75329927.4
1494423000,239.39,239.87,239.15,239.87,54293799,73642353.55
1494509400,239.35,239.57,238.13,239.38,62358346,72667049.05
1494595800,239.09,239.4273,238.67,238.98,53912730,70718665.85
1494855000,239.47,240.44,239.45,240.3,61918937,70394344.35
1494941400,240.64,240.67,239.63,240.08,51241791,68795142.85
1495027800,238.1,238.64,235.75,235.82,172174107,73968854.8
1495114200,235.73,237.75,235.43,236.77,107047656,74692628.3
1495200600,237.33,239.08,237.27,238.31,115011373,74923704.6
1495459800,238.9,239.71,238.82,239.52,61010602,72013740.85
1495546200,239.95,240.24,239.51,240.05,48341683,70678278.25
1495632600,240.32,240.73,239.93,240.61,49181099,68902210.45
1495719000,241.2,242.08,240.96,241.76,64071661,69235277.2
1495805400,241.54,241.9,241.45,241.71,46629905,68390130.2
1496151000,241.34,241.79,241.16,241.5,35201897,66806099
1496237400,241.84,241.88,240.64,241.44,91796016,68527113.2
1496323800,241.97,243.38,241.64,243.36,68962024,68318327.85
1496410200,243.42,244.35,243.08,244.17,88666128,69678497.65
1496669400,243.97,244.3,243.76,243.99,44698825,68813375.45
1496755800,243.34,243.98,243.12,243.21,50375430,68912860.45
